Precinct,Demic,Horlander
K104,119,407
K105,125,767
K110,55,375
K111,52,259
K112,68,324
K113,38,238
K114,119,509
K116,26,85
K117,146,519
K118,27,491
K119,160,541
K122,89,661
K123,76,758
K125,39,195
K126,47,290
K127,276,720
K128,202,513
K129,108,541
K130,54,438
K131,100,470
K132,104,240
K133,117,498
K134,149,442
K135,5,19
K136,15,103
K137,3,173
K138,50,127
K139,0,0
K140,29,211
K141,50,161
K142,0,0
K143,0,0
K144,177,516
K145,315,819
K146,362,765
K147,364,918
K148,170,471
K149,1,1
K150,0,0
K151,0,0
