Precinct,Owen,Owens
N101,85,551
N102,190,344
N103,22,679
N104,31,717
N105,26,535
N106,14,639
N107,16,634
N108,21,698
N109,14,471
N110,19,417
N111,10,290
N112,9,363
N113,6,281
N115,104,320
N117,81,437
N124,2,1
N125,337,335
N126,309,164
N127,12,42
N128,47,173
N130,274,517
N131,413,230
N134,141,583
N135,45,83
N136,37,253
N137,4,132
N138,1,35
N139,1,74
N141,247,196
N142,412,431
N143,401,431
N144,251,239
N145,8,450
N146,197,271
N147,30,78
N148,2,334
N149,2,101
N150,0,12
