Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
A105,538,577,21,0,10,4
A107,281,218,12,0,6,8
A108,503,336,24,0,7,14
A111,403,270,30,2,8,5
A113,450,336,17,0,4,10
A114,397,236,19,2,5,5
A115,413,241,18,0,7,9
A118,232,117,10,2,3,4
A119,369,215,24,0,7,9
A121,417,275,17,0,8,5
A123,383,420,18,0,3,11
A124,482,259,23,1,3,5
A125,517,268,14,0,8,5
A126,460,283,16,0,3,2
A127,286,225,13,0,6,7
A128,354,219,17,0,2,5
A129,606,254,15,1,13,10
A130,298,94,10,0,2,1
A131,399,291,13,0,10,8
A134,322,132,9,0,7,6
A135,321,248,16,1,4,1
A136,209,164,15,0,6,1
A139,262,190,12,0,8,9
A140,531,361,33,0,7,12
A141,8,5,0,0,0,1
A142,130,69,7,0,3,3
A143,10,2,0,0,0,0
B124,376,268,23,0,3,3
B132,513,276,23,1,5,4
B133,554,344,26,0,2,13
B134,728,538,34,0,9,17
B149,346,185,23,0,4,7
B151,574,437,42,0,7,11
B153,37,21,1,0,0,0
B154,362,311,35,0,9,17
B155,250,273,21,0,6,5
B156,520,412,47,1,13,12
B157,685,581,39,0,3,10
B158,609,287,26,0,1,4
B159,826,564,42,0,6,26
B160,290,191,23,0,4,7
B161,65,27,2,0,1,0
B162,625,281,25,0,1,10
B163,453,445,25,1,11,11
B166,296,257,21,1,9,9
B168,501,375,22,0,8,8
B169,369,250,25,0,7,12
B170,318,257,15,0,3,8
B172,709,471,45,0,9,21
B173,546,296,29,0,7,9
B175,489,300,18,0,1,7
B177,572,264,23,0,5,10
B181,69,46,1,0,0,0
B182,311,179,13,0,0,13
B183,769,482,39,0,10,23
B184,19,1,0,0,0,0
B185,170,128,11,0,2,1
C101,99,533,12,0,7,4
C102,117,324,14,0,6,6
C103,137,406,13,0,4,11
C104,103,330,8,0,5,2
C105,4,320,7,1,4,0
C106,211,737,20,0,8,11
C108,82,606,5,0,7,4
C109,36,259,1,0,1,0
C110,9,457,5,0,4,0
C111,31,814,6,0,7,2
C113,79,197,3,1,0,1
C115,211,677,11,0,10,6
C122,168,318,25,0,9,11
C123,144,209,11,0,8,3
C124,332,421,24,0,4,9
C125,103,378,7,0,6,7
C126,93,519,21,0,15,8
C128,70,74,4,0,3,4
C129,257,567,23,1,7,14
C130,20,35,3,0,0,0
C131,141,206,8,0,5,1
C133,283,576,31,0,2,5
C134,239,336,26,1,10,4
C135,230,335,17,1,3,7
C136,144,228,12,0,6,8
C137,220,314,23,1,9,15
C138,145,231,29,0,4,5
C139,15,7,1,0,0,0
C141,134,275,7,0,2,5
C142,91,389,10,0,4,8
C143,84,44,3,0,6,0
C144,36,26,1,0,1,0
C145,75,83,6,0,2,1
C146,0,0,0,0,0,0
C147,0,1,0,0,0,0
C148,11,20,0,0,1,1
C149,9,1,0,0,0,0
C150,6,3,0,0,0,0
C151,11,11,1,0,0,0
D101,172,239,20,1,7,7
D104,190,316,16,0,6,15
D106,289,303,17,0,6,12
D108,342,397,41,0,10,17
D109,109,192,6,0,4,9
D110,178,337,13,2,8,5
D113,112,375,15,0,6,2
D114,319,351,22,0,7,6
D115,358,494,29,0,8,9
D116,475,449,25,0,9,15
D117,317,319,11,0,0,13
D120,408,526,39,0,10,14
D121,293,266,27,1,5,6
D122,377,306,26,0,6,13
D126,483,515,48,1,9,20
D129,160,198,12,0,2,5
D130,248,369,31,0,8,15
D131,160,237,18,1,3,13
D132,459,697,30,0,7,12
D135,213,306,22,0,6,10
D136,453,491,19,0,8,7
D137,329,242,21,0,4,10
D138,489,598,36,0,7,16
D139,435,468,41,1,15,17
D140,390,429,32,1,8,19
D141,359,264,16,0,0,9
D142,397,317,18,0,2,9
D144,159,186,12,0,4,13
D145,162,154,13,0,1,1
E139,150,357,20,0,9,6
E141,142,152,18,0,1,9
E142,241,296,25,0,2,10
E143,173,286,29,0,10,12
E144,286,380,27,0,14,15
E145,325,353,28,1,14,7
E148,393,440,30,0,0,5
E152,434,345,29,0,3,6
E154,326,303,16,0,6,13
E155,318,365,29,0,6,12
E157,88,98,9,0,1,6
E158,226,228,13,0,0,4
E159,193,174,12,0,4,6
E160,318,258,16,0,5,11
E161,217,112,8,0,2,6
E162,106,126,13,0,3,8
E163,531,273,26,0,4,1
E164,450,231,8,0,1,21
E165,356,438,30,0,3,13
E166,252,209,14,0,6,5
E167,222,349,28,0,13,13
E168,225,147,15,0,3,4
E169,591,384,35,0,9,19
E171,192,260,14,0,8,7
E173,134,277,23,2,7,8
E175,196,267,16,0,5,18
E176,121,160,15,0,1,8
E177,140,115,11,0,4,3
E178,352,257,17,0,2,16
E179,367,262,17,0,2,15
E180,261,318,22,1,5,9
E181,324,386,23,0,6,11
E182,653,617,25,0,5,15
E183,260,295,28,0,10,9
E184,236,240,20,0,4,16
E185,88,149,13,0,7,7
F106,299,274,11,0,1,6
F145,535,454,27,1,5,11
F151,559,428,23,1,4,14
F152,542,399,28,1,7,13
F153,416,372,28,1,6,22
F154,364,303,29,0,1,5
F155,198,145,8,1,3,5
F156,477,401,31,0,9,13
F158,155,100,12,0,4,3
F161,338,218,17,0,1,10
F163,331,276,23,0,2,11
F164,450,240,24,1,5,9
F166,316,247,14,0,5,15
F167,240,333,21,0,2,9
F169,150,177,14,0,3,6
F170,150,225,15,0,7,5
F171,370,250,22,0,4,4
F172,302,302,27,1,9,12
F176,339,251,26,1,5,8
F179,348,336,29,0,7,11
F180,449,496,38,2,7,20
F181,385,541,39,0,7,21
F182,479,544,52,0,14,19
F183,220,117,10,0,2,1
F184,387,298,27,1,4,13
F185,253,453,30,1,12,24
F186,335,668,36,2,13,20
F187,253,340,35,0,7,25
G103,65,401,19,0,11,8
G104,80,318,15,1,17,3
G106,83,351,22,1,12,8
G107,101,420,21,2,8,10
G108,62,327,12,0,9,3
G109,128,565,33,0,12,10
G111,99,428,23,1,11,7
G112,186,753,42,1,23,15
G116,157,604,24,0,12,7
G117,224,753,23,0,11,15
G119,132,290,20,1,4,9
G120,140,379,23,0,11,7
G121,195,305,21,0,4,7
G122,102,285,10,0,4,7
G123,60,159,6,0,0,2
G124,330,477,37,0,7,7
G126,181,324,9,0,6,7
G129,69,96,9,0,4,2
G140,87,386,19,0,12,16
G141,109,388,14,0,5,24
G142,47,112,3,0,0,1
G143,157,614,32,1,14,8
G144,142,479,21,0,6,10
G145,249,607,34,0,18,12
G146,176,560,25,0,10,4
G147,206,434,39,0,4,11
