Precinct,Majors,Hollenbach,Brady,Sexton
B134,88,276,542,111
B151,56,198,487,143
B153,6,10,15,10
B154,37,135,297,72
B155,30,122,233,35
B157,76,309,508,141
B158,56,224,310,97
B159,83,337,566,145
B161,7,24,29,8
B162,53,194,362,90
B168,52,186,373,109
B170,37,135,251,66
B172,64,234,491,177
B173,57,179,336,61
B177,48,154,401,65
B181,10,24,35,18
B182,33,141,173,81
B183,77,300,399,195
C133,66,234,304,78
C146,0,0,0,0
C147,0,0,0,0
C148,1,7,12,1
C149,0,6,1,1
C150,0,2,3,0
D113,21,160,194,33
D116,67,256,341,133
D120,49,217,386,138
D121,45,138,235,61
D122,55,164,249,113
D126,69,225,443,126
D136,51,309,307,77
D137,33,154,216,66
D138,62,285,395,116
D140,61,253,317,95
D141,43,178,194,107
D142,45,193,263,90
D145,24,94,106,35
E166,29,109,190,77
E167,43,141,231,83
E177,15,53,121,31
F167,37,160,170,117
F184,35,175,220,106
F186,93,268,330,130
I146,72,121,225,65
I147,5,8,18,3
I148,21,63,128,22
I153,113,211,500,104
Q138,34,95,224,44
S135,84,188,282,90
V101,33,122,270,93
V102,64,317,413,173
V103,20,97,177,60
V104,76,338,295,277
V105,49,235,348,188
V106,36,116,256,84
V107,20,139,166,90
V108,48,348,299,211
V109,5,22,26,16
V110,46,300,268,243
V111,49,238,204,145
V112,0,8,2,1
V113,97,393,396,306
V114,42,253,174,154
V115,52,184,245,116
V116,42,217,252,133
V119,66,312,336,183
V120,56,250,250,205
V121,53,204,251,154
V122,0,0,0,0
V123,0,1,0,0
V124,30,140,137,110
V125,24,181,165,134
V126,64,227,345,215
V127,94,262,342,198
V128,57,201,281,146
V129,57,297,297,166
V130,10,72,82,45
V131,41,195,304,147
V132,24,118,185,70
