Precinct,West,McGarvey
B132,469,336
B133,510,390
B155,244,280
B156,477,475
B157,619,641
B160,273,223
B184,13,5
B185,150,151
C122,163,349
C123,128,231
C124,290,466
C128,67,77
C129,240,599
C130,16,38
C131,136,214
C136,145,247
C137,213,345
C138,145,242
C139,13,8
C144,36,30
C146,0,0
C148,11,20
C149,9,1
C150,7,2
D101,181,251
D104,195,329
D106,263,334
D108,357,416
D109,115,192
D110,171,350
D114,309,367
D115,341,536
D117,299,344
D121,288,289
D129,158,201
D130,261,386
D131,164,264
D132,453,711
D135,218,331
D136,407,510
D138,485,603
D139,447,490
D140,390,462
D144,174,191
E158,220,229
G108,73,325
G109,154,564
G111,106,449
G112,205,772
G116,161,622
G117,226,758
G119,140,291
G120,145,396
G121,189,328
G122,107,278
G123,70,155
G124,322,497
G126,173,329
G129,70,104
G140,118,389
G142,55,105
G143,160,637
G144,150,481
G145,269,621
G146,173,559
G147,200,474
G148,105,205
G149,121,223
G151,141,237
G154,217,392
G155,228,460
G156,350,318
G160,218,157
G161,132,305
G162,50,45
G166,44,83
G167,128,193
G168,47,26
G169,106,173
H102,111,482
H103,173,577
H105,153,468
H106,140,424
H109,92,220
H110,168,453
H111,146,245
H112,232,343
H113,153,173
H114,2,5
H115,137,246
H116,199,344
H117,400,478
H118,223,400
H120,367,535
H121,117,201
H133,13,65
H141,189,447
H150,2,0
H151,0,1
H152,37,77
H153,0,0
H157,4,13
H158,0,0
K129,109,432
K134,158,284
M144,51,220
M145,3,34
M147,65,320
M150,70,187
M159,30,120
M160,33,98
M164,9,16
M165,0,0
M174,0,1
Q109,553,476
Q114,443,306
Q115,373,406
Q117,410,302
Q119,439,404
Q125,624,559
Q126,225,176
Q132,220,264
Q137,281,397
Q138,159,298
Q139,159,152
