Precinct,Clark
A105,832
A107,373
A108,600
A111,480
A113,515
A114,413
A115,432
A118,253
A119,397
A123,601
A124,428
A125,438
A126,458
A127,352
A128,372
A131,455
A135,393
A136,284
A140,639
A141,7
A143,3
H124,133
H125,247
H146,454
H147,353
H155,135
I107,501
I109,293
I110,130
I111,629
I112,508
I115,340
I120,256
I122,226
I123,710
I124,259
I130,220
I138,0
I140,53
I142,1
I149,0
J108,581
J113,546
J114,564
J117,298
J119,352
J120,467
J122,446
J135,419
J137,350
J138,116
J140,156
J142,2
J143,44
J144,323
J145,385
J147,452
J148,468
J149,434
J150,283
J151,11
J153,162
K117,410
K127,535
K128,371
K132,173
K139,0
K146,531
K147,669
M167,0
O112,361
O114,472
O115,595
O127,442
O128,520
O129,695
O130,423
O131,397
O133,528
O135,441
O136,457
O137,645
O138,202
O139,30
O141,0
O143,15
Q104,201
Q112,494
