Precinct,Bratcher,Yarmuth
A105,435,687
A107,211,307
A108,382,488
A111,327,370
A113,362,440
A114,302,336
A115,334,316
A118,173,191
A119,290,314
A121,335,376
A123,316,505
A124,397,364
A125,425,374
A126,380,367
A127,247,281
A128,281,294
A129,484,392
A130,256,141
A131,323,378
A134,265,195
A135,272,306
A136,149,235
A139,207,266
A140,413,499
A141,6,7
A142,100,106
A143,10,1
B124,359,312
B132,461,358
B133,483,440
B134,668,625
B149,296,250
B151,521,530
B153,33,23
B154,319,388
B155,231,317
B156,466,515
B157,619,675
B158,558,363
B159,746,689
B160,269,239
B162,584,343
B163,401,526
B166,267,310
B168,456,441
B169,334,313
B170,287,306
B172,672,579
B173,470,389
B175,445,369
B177,533,319
B181,59,57
B182,296,212
B183,720,581
B184,13,7
B185,142,161
C101,82,566
C102,103,357
C103,107,455
C104,84,359
C105,8,323
C106,168,793
C108,67,628
C109,29,265
C110,8,460
C111,23,832
C113,60,214
C115,179,725
C122,157,356
C123,122,246
C124,273,493
C125,82,404
C126,96,544
C128,65,88
C129,210,650
C130,15,44
C131,128,223
C133,275,610
C134,215,395
C135,202,388
C136,142,261
C137,202,371
C138,126,276
C139,13,9
C141,122,296
C142,98,399
C143,54,74
C144,31,34
C145,61,102
C146,0,0
C147,0,1
C148,10,23
C149,9,1
C150,7,2
C151,7,17
D101,165,267
D104,174,360
D106,251,357
D108,325,469
D109,106,207
D110,154,378
D113,105,401
D114,308,398
D115,320,573
D116,398,559
D117,293,361
D120,356,604
D121,258,326
D122,325,391
D126,422,637
D129,140,221
D130,247,413
D131,149,280
D132,418,779
D135,189,364
D136,381,586
D137,299,290
D138,449,679
D139,416,542
D140,361,517
D141,332,312
D142,354,376
D144,156,210
D145,132,196
E139,151,380
E141,144,170
E142,233,332
E143,177,332
E144,270,436
E145,303,405
E148,391,483
E152,412,409
E154,295,369
E155,295,423
E157,90,112
E158,219,248
E159,164,211
E160,312,297
E161,204,137
E162,115,138
E163,511,319
E164,423,287
E165,346,479
E166,235,247
E167,219,389
E168,216,172
