Precinct,Froelicher,Bessette,Cloyd,Wingo,Huff,HenryBessette,Aubuchon,Howard,Winn,Carroll,Osborne
AB,328,150,190,279,273,202,391,193,344,260,319
B120,25,5,13,46,30,6,22,9,28,22,30
B133,466,189,157,284,311,199,397,218,445,285,384
C102,41,28,19,33,42,29,35,25,44,20,46
C121,298,135,111,259,236,175,319,160,287,210,274
C123,0,0,0,0,0,0,0,0,0,0,0
C124,248,131,130,221,250,168,305,165,256,232,255
C125,181,62,79,123,126,102,194,96,196,152,188
C126,116,50,63,102,78,75,122,57,91,77,96
C127,258,102,109,197,186,125,259,186,244,196,256
C128,184,79,126,150,161,86,209,128,215,147,185
C129,234,98,107,171,215,113,286,138,254,192,230
C130,327,137,203,273,263,195,316,202,368,247,302
C131,288,150,151,240,231,198,315,180,280,245,299
C132,278,133,179,231,230,161,311,142,291,222,256
C133,141,60,64,97,120,61,155,81,156,114,143
C134,490,201,176,351,375,261,468,249,452,323,435
C135,290,123,192,202,231,138,259,147,316,249,264
C136,242,104,133,146,193,93,224,115,209,174,207
C137,491,211,199,335,324,223,436,227,400,407,389
