Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
AB,3291,1424,162,2,21,41
A102,323,85,13,0,2,1
A103,843,207,40,0,9,16
A104,759,176,31,0,7,14
A105,381,109,20,0,1,6
A106,362,100,12,0,1,2
A107,230,88,12,0,2,6
A108,687,254,43,0,4,15
A109,741,280,61,0,7,11
A110,438,100,19,0,1,6
A111,591,273,36,2,6,8
A112,476,156,31,0,6,10
A113,632,263,33,0,12,12
A114,927,285,60,1,8,11
A115,755,285,51,0,3,5
A116,410,135,18,0,5,10
A117,847,313,58,1,7,25
A118,603,149,19,0,2,7
A119,265,90,13,0,2,5
A120,933,258,44,0,2,11
A121,982,358,62,1,6,26
A122,481,139,39,0,1,9
A123,710,268,51,0,6,15
B114,610,128,25,0,2,8
B115,333,145,28,0,11,10
B116,485,188,24,0,4,7
B117,705,292,52,0,3,25
B118,273,143,22,0,4,6
B119,317,163,21,0,6,8
B120,493,183,21,0,1,14
B121,1061,380,55,1,10,21
B122,635,196,19,0,4,6
B123,940,366,51,0,10,36
B124,727,277,44,1,2,16
B125,745,299,65,0,10,28
B126,635,147,28,0,3,6
B127,779,227,42,0,12,20
B128,647,160,33,0,10,9
B129,667,253,58,0,9,16
B130,1300,490,65,0,13,28
B131,694,308,50,1,16,10
B132,769,344,59,3,9,15
B133,705,301,69,0,9,30
B134,596,183,22,0,5,5
C102,694,250,42,0,5,8
C110,645,304,37,0,6,10
C117,506,179,23,0,1,11
C121,476,281,32,0,10,15
C123,233,137,19,0,5,8
C124,407,270,20,0,5,11
C125,282,114,15,0,4,2
C126,136,138,17,1,3,0
C127,363,186,18,1,7,11
C128,311,125,16,1,8,8
C129,350,174,29,0,3,8
C130,539,297,27,3,9,13
C131,425,291,32,0,8,14
C132,419,222,24,0,9,2
C133,225,87,8,0,4,6
C134,800,355,57,0,6,13
C135,456,222,41,0,5,8
C136,387,139,18,1,3,3
C137,645,287,43,0,5,16
