Precinct,Schickel
AB,4045
A102,363
A103,963
A104,850
A105,433
A106,408
A107,276
A108,849
A109,916
A110,458
A111,745
A112,582
A113,771
A114,1108
A115,909
A116,499
A117,1049
A118,665
A119,289
A120,1059
A121,1191
A122,568
A123,888
B114,661
B115,430
B116,584
B117,866
B118,343
B119,405
B120,595
B121,1288
B122,709
B123,1173
B124,888
B125,963
B126,702
B127,916
B128,731
B129,860
B130,1606
B131,869
B132,984
B133,915
B134,697
C102,829
C110,785
C117,619
C121,624
C123,299
C124,546
C125,337
C126,213
C127,453
C128,367
C129,458
C130,693
C131,600
C132,540
C133,272
C134,991
C135,589
C136,450
C137,818
