Precinct,Massie,Sidle
AB,3626,1242
A102,343,76
A103,909,174
A104,813,155
A105,404,107
A106,383,90
A107,254,73
A108,782,204
A109,804,270
A110,444,107
A111,632,266
A112,511,148
A113,676,262
A114,1015,267
A115,836,247
A116,452,118
A117,970,256
A118,624,137
A119,277,83
A120,1005,225
A121,1115,277
A122,523,134
A123,786,247
B114,628,125
B115,369,147
B116,521,173
B117,795,261
B118,315,130
B119,360,137
B120,546,150
B121,1179,329
B122,670,167
B123,1060,319
B124,828,220
B125,868,256
B126,673,129
B127,852,210
B128,672,165
B129,775,207
B130,1494,388
B131,777,268
B132,888,283
B133,833,255
B134,650,155
C102,742,236
C110,649,327
C117,557,159
C121,539,248
C123,256,131
C124,456,238
C125,288,113
C126,148,136
C127,391,181
C128,334,126
C129,384,166
C130,609,276
C131,472,279
C132,447,206
C133,233,91
C134,903,295
C135,504,204
C136,406,122
C137,731,247
