Precinct,Paul,Gray
AB,3556,1379
A102,340,84
A103,902,205
A104,797,189
A105,402,116
A106,366,111
A107,252,83
A108,732,263
A109,806,293
A110,441,118
A111,631,280
A112,492,177
A113,638,303
A114,992,307
A115,803,293
A116,437,141
A117,967,283
A118,624,153
A119,265,101
A120,982,263
A121,1081,344
A122,506,160
A123,783,266
B114,621,149
B115,376,147
B116,502,201
B117,766,305
B118,303,142
B119,355,157
B120,538,168
B121,1151,379
B122,659,193
B123,1028,362
B124,794,269
B125,834,308
B126,655,166
B127,820,259
B128,663,192
B129,774,228
B130,1462,439
B131,763,307
B132,883,312
B133,798,316
B134,623,195
C102,737,258
C110,648,344
C117,558,166
C121,518,292
C123,260,134
C124,442,263
C125,285,127
C126,154,135
C127,382,199
C128,336,130
C129,379,184
C130,579,317
C131,458,300
C132,424,238
C133,224,103
C134,891,338
C135,497,229
C136,398,145
C137,699,295
