Precinct,Voelker,Blau,Grimme,Hayden,Janovic
Absentee,516,762,815,186,160
A402,82,268,364,30,49
A403,91,203,314,15,52
A405,58,161,277,12,28
A406,12,46,53,3,9
A408,76,207,464,23,43
A409,61,166,316,9,24
A410,50,113,311,9,20
A411,19,108,136,14,11
A412,59,153,375,10,21
A414,60,128,151,15,29
A415,19,52,85,18,19
A417,0,0,0,0,0
A418,133,261,333,35,38
A419,31,89,196,9,11
A502,70,205,160,36,42
A503,37,70,96,14,5
A504,64,90,80,28,33
A601,73,95,94,23,16
A602,78,127,96,36,24
A603,42,95,84,15,13
A604,45,68,44,17,17
A605,182,285,235,36,45
A701,163,189,136,9,11
A703,252,278,202,34,39
A801,185,287,156,18,22
A802,184,171,98,13,11
A803,239,252,168,32,30
A804,245,293,149,22,13
B702,216,241,171,29,16
B704,232,254,184,31,27
B705,107,172,98,18,12
B706,349,359,346,45,48
B805,274,318,193,27,18
B806,387,387,217,28,15
B807,223,195,127,17,8
B901,167,230,91,8,6
B902,219,196,107,9,9
B903,337,416,205,30,26
B904,398,434,255,57,38
B905,346,355,200,35,30
B906,206,257,146,14,21
B907,179,158,80,14,12
B909,181,271,249,37,35
B910,54,63,39,6,27
B912,103,160,63,22,16
B913,140,201,152,58,48
C101,120,123,104,57,57
C102,147,176,180,46,43
C103,144,125,125,61,31
C201,137,165,143,55,66
C202,103,121,156,26,25
C203,115,140,167,43,44
C204,141,168,154,41,48
C301,93,105,97,131,66
C302,106,106,110,99,52
C303,37,43,28,113,49
C304,53,97,67,79,60
C305,39,59,45,94,45
C306,18,61,24,76,41
C307,25,58,47,86,33
C308,62,112,119,99,57
C309,63,96,114,121,49
C310,62,96,102,76,47
C311,51,97,105,99,50
C401,53,175,349,25,27
C416,53,96,200,23,25
C501,54,137,142,30,35
