Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
Absentee,1619,1102,102,2,18,33
A402,521,293,31,0,7,13
A403,397,303,29,0,9,13
A405,319,232,25,0,9,11
A406,70,67,2,0,0,5
A408,486,320,52,0,10,17
A409,336,255,27,1,5,17
A410,292,204,22,0,4,11
A411,160,121,23,0,2,7
A412,384,229,47,0,2,8
A414,226,158,21,0,4,5
A415,97,109,19,0,5,6
A417,0,0,0,0,0,0
A418,482,349,49,0,14,11
A419,210,131,17,0,2,6
A502,312,213,28,0,4,9
A503,167,69,5,0,0,0
A504,177,170,15,0,4,6
A601,190,132,14,0,4,1
A602,252,134,21,0,6,4
A603,171,92,15,0,6,6
A604,83,118,10,0,4,9
A605,481,335,31,1,8,9
A701,367,143,27,0,4,3
A703,550,296,41,0,10,11
A801,532,148,17,1,15,6
A802,370,126,26,0,6,2
A803,528,226,32,0,5,11
A804,570,177,32,0,4,11
B702,471,202,44,1,3,9
B704,544,257,23,1,2,6
B705,333,106,12,0,2,6
B706,823,445,52,1,4,18
B805,652,222,31,1,10,9
B806,802,270,34,1,4,20
B807,455,141,25,0,1,1
B901,420,89,19,0,1,9
B902,446,124,21,0,3,4
B903,842,214,37,0,8,14
B904,1041,238,36,1,15,11
B905,769,234,40,1,7,18
B906,478,189,18,0,4,8
B907,373,99,14,0,3,11
B909,511,306,28,0,7,18
B910,121,96,5,0,5,2
B912,248,131,15,0,1,4
B913,375,282,29,0,6,13
C101,267,216,34,0,8,6
C102,357,275,30,0,9,10
C103,323,226,21,0,8,5
C201,306,315,41,0,15,13
C202,274,217,32,0,3,2
C203,279,257,32,0,7,10
C204,297,315,34,0,20,3
C301,188,342,38,0,9,8
C302,230,319,34,1,7,8
C303,82,189,15,0,7,3
C304,162,247,19,0,6,7
C305,141,179,9,1,5,1
C306,106,129,5,0,3,0
C307,133,125,8,0,6,3
C308,235,234,33,0,12,7
C309,273,226,21,0,6,5
C310,204,200,24,1,7,5
C311,212,193,22,0,7,5
C401,444,173,33,0,6,14
C416,264,208,23,0,5,3
C501,220,176,18,3,9,2
