Precinct,Massie,Sidle
Absentee,1869,959
A402,595,247
A403,482,256
A405,398,184
A406,83,59
A408,589,271
A409,426,213
A410,363,161
A411,209,99
A412,452,189
A414,261,142
A415,134,95
A417,0,0
A418,585,312
A419,256,108
A502,358,198
A503,184,56
A504,206,158
A601,201,134
A602,277,130
A603,188,94
A604,113,108
A605,537,303
A701,399,136
A703,616,272
A801,576,137
A802,388,132
A803,575,201
A804,623,149
B702,540,170
B704,603,216
B705,342,101
B706,936,375
B805,693,212
B806,878,237
B807,484,129
B901,438,82
B902,456,130
B903,904,185
B904,1093,216
B905,821,221
B906,515,169
B907,391,99
B909,580,273
B910,140,82
B912,270,116
B913,435,253
C101,291,231
C102,408,251
C103,352,206
C201,360,301
C202,311,191
C203,337,231
C204,329,322
C301,233,335
C302,291,296
C303,99,192
C304,195,229
C305,152,174
C306,109,126
C307,146,123
C308,272,241
C309,306,208
C310,231,202
C311,237,188
C401,535,133
C416,310,181
C501,268,153
