Precinct,Paul,Gray
Absentee,1788,1081
A402,571,289
A403,456,291
A405,377,220
A406,80,65
A408,578,308
A409,397,250
A410,349,186
A411,196,118
A412,444,217
A414,255,156
A415,134,100
A417,0,0
A418,560,344
A419,241,128
A502,353,215
A503,167,76
A504,203,168
A601,208,136
A602,278,134
A603,186,100
A604,104,122
A605,533,330
A701,385,159
A703,595,312
A801,572,149
A802,392,140
A803,554,240
A804,598,195
B702,515,210
B704,572,252
B705,333,123
B706,902,442
B805,685,235
B806,849,281
B807,470,152
B901,424,104
B902,449,148
B903,893,217
B904,1069,260
B905,800,266
B906,490,206
B907,376,123
B909,578,289
B910,129,97
B912,251,144
B913,421,280
C101,292,236
C102,382,291
C103,340,240
C201,371,316
C202,302,220
C203,314,276
C204,327,340
C301,236,341
C302,292,309
C303,94,201
C304,199,234
C305,158,171
C306,113,129
C307,133,139
C308,268,250
C309,294,232
C310,230,210
C311,234,204
C401,521,153
C416,309,197
C501,249,179
