Precinct,Rodarte,Bacon
AB,397,583
A101,78,146
A102,139,161
A103,111,162
A104,72,79
A106,90,87
A113,108,162
A114,105,151
A118,121,159
A121,88,133
A123,151,160
A128,184,229
A131,127,116
A132,170,176
A136,134,191
A138,202,244
A139,137,180
A140,109,110
A145,152,175
A146,154,199
A157,176,212
A158,148,181
A162,34,63
A163,96,154
A176,108,219
A178,64,84
A180,100,150
A181,111,159
A182,137,220
A188,103,213
A189,82,130
A192,149,202
A193,154,221
A203,2,0
A204,97,139
B101,137,193
B117,136,253
B141,132,224
B156,137,203
B163,190,219
B183,102,156
B184,142,247
B185,177,282
B186,109,230
B187,124,214
B191,136,159
B192,151,233
B200,113,140
B201,128,155
B203,158,228
B208,127,187
B212,145,215
B215,157,213
B216,170,179
B219,139,169
B223,171,178
B226,167,169
