Precinct,Love,MofieldBoswell
AB,524,528
A151,130,114
A156,97,90
A166,167,195
A167,126,128
B102,200,192
B103,156,105
B104,174,134
B105,132,152
B106,176,142
B108,142,138
B112,165,106
B113,222,199
B114,144,111
B118,192,122
B120,106,92
B121,158,116
B125,198,152
B129,118,149
B130,233,209
B132,152,112
B133,181,139
B135,217,163
B137,200,144
B138,218,100
B142,100,117
B146,185,173
B147,187,157
B150,175,169
B154,152,127
B157,119,122
B159,156,162
B164,142,118
B165,205,183
B170,121,138
B172,112,134
B174,122,101
B179,256,240
B190,185,173
B195,200,171
B196,164,165
B198,233,148
B199,164,155
B202,234,155
B204,141,118
B205,228,204
B206,208,124
B207,223,157
B209,186,196
B210,247,207
B211,205,147
B213,90,104
B217,104,74
B218,212,156
B221,250,108
B222,174,167
B224,266,209
B225,192,187
B227,157,192
B231,284,253
B232,257,154
C190,210,194
C215,141,105
C216,93,81
