Precinct,Lee,Sigler
AB,787,711
A103,245,168
A138,346,310
A139,241,218
A157,341,234
A158,377,139
A176,267,168
A180,175,179
A182,330,179
A188,280,188
A192,260,232
A193,367,211
B101,291,169
B103,223,168
B104,227,179
B106,266,203
B117,371,213
B129,243,133
B141,283,213
B142,186,143
B150,282,178
B154,256,153
B156,339,202
B163,370,214
B164,198,157
B172,188,155
B183,212,177
B184,304,216
B185,415,226
B186,343,158
B187,342,162
B191,248,175
B192,363,199
B196,197,220
B199,270,187
B200,219,158
B201,307,125
B203,383,177
B205,426,218
B208,293,137
B210,340,293
B212,328,195
B213,173,123
B215,378,134
B216,326,178
B219,283,160
B222,299,206
B223,335,170
B225,297,218
B226,288,174
B227,267,188
