Precinct,McCollum,Flood
AB,380,691
A114,133,227
A117,92,385
A132,181,276
A133,72,304
A136,208,273
A146,163,341
A151,163,193
A156,130,173
A163,94,272
A166,309,222
A167,195,175
A173,162,249
A177,71,211
A181,205,281
A184,92,118
A185,161,285
B102,235,339
B113,153,414
B114,210,182
B118,191,260
B123,290,157
B130,362,278
B132,114,253
B135,193,357
B138,153,308
B159,241,224
B182,115,120
B228,110,99
B229,166,244
B230,64,98
C103,164,360
C105,154,423
C115,85,221
C128,135,312
C142,170,491
