Precinct,Kearns,Westrom
AB,469,697
B105,161,247
B108,166,221
B110,179,240
B111,111,285
B112,139,229
B119,123,175
B120,142,140
B121,147,249
B125,172,295
B127,235,269
B128,150,204
B133,147,279
B137,199,278
B140,211,263
B143,208,269
B147,206,273
B152,290,241
B155,180,313
B157,137,192
B158,164,259
B165,248,305
B166,219,220
B167,151,147
B168,187,261
B174,49,254
B181,317,356
B188,245,255
B189,158,274
B190,166,337
B195,169,338
B197,144,238
B211,211,291
C102,98,131
C150,113,224
C151,105,168
C156,170,290
C161,154,196
C162,159,327
C171,149,238
C183,84,192
C186,210,282
C188,147,207
C191,215,354
C212,212,251
C220,139,155
Total:,8155,11909
