Precinct,Benvenuti
AB,1049
B169,242
B179,468
B198,441
B202,411
B206,395
B207,396
B209,408
B218,383
B221,344
B224,530
C114,328
C152,496
C160,242
C163,346
C164,405
C173,398
C174,344
C175,345
C176,389
C177,367
C178,295
C179,279
C180,536
C182,356
C184,99
C187,350
C190,404
C192,372
C193,258
C194,352
C197,208
C198,219
C199,291
C200,385
C203,420
C208,333
C209,419
C210,436
C215,280
C216,190
C217,369
C218,355
C224,480
C225,359
C228,344
C229,225
C230,274
C231,359
C232,359
C233,303
C236,236
C237,374
C238,386
C239,610
