Precinct,Thomas
AB,1821
A102,329
A109,457
A111,331
A114,293
A115,515
A117,416
A120,261
A126,349
A128,437
A131,252
A132,339
A133,339
A134,234
A135,388
A136,352
A140,254
A143,265
A144,455
A146,415
A148,459
A149,298
A150,452
A151,251
A155,472
A156,205
A161,449
A163,310
A164,283
A166,332
A167,236
A168,425
A169,306
A170,211
A172,284
A173,338
A174,167
A177,235
A179,294
A181,340
A184,172
A185,368
B110,316
B111,321
B112,247
B113,460
B114,246
B118,331
B119,225
B120,175
B123,245
B132,285
B135,436
B137,308
B138,349
B139,265
B143,337
B151,241
B155,382
B158,318
B167,192
B168,312
B169,220
B182,173
B188,303
B197,286
B228,130
B229,290
B230,125
C102,168
C103,395
C105,503
C113,413
C115,254
C120,376
C124,403
C128,371
C138,425
C140,577
C142,544
C143,323
C144,398
C150,275
C151,204
C156,350
C157,336
C162,398
C164,383
C165,411
C167,391
C170,241
C171,299
C183,222
C184,103
C188,265
C189,343
C191,450
C196,305
C205,340
Total:,33373
B120,169
B121,182
B123,344
B125,218
B127,272
B128,185
B129,239
B130,379
B132,132
B133,170
B135,232
B137,251
B138,180
B139,325
B140,223
B141,276
B142,189
B143,238
B146,280
B147,231
B150,291
B151,184
B152,358
B154,251
B155,205
B156,340
B157,155
B158,185
B159,281
B163,361
B164,199
B165,264
B166,265
B167,184
B168,218
B169,200
B170,219
B172,197
B174,65
B179,379
B181,395
B182,145
B183,217
B184,323
B185,450
B186,341
B187,344
B188,316
B189,185
B190,180
B191,250
B192,376
B195,190
B196,217
B197,174
B198,403
B199,276
B200,235
B201,322
B202,336
B203,390
B204,227
B205,448
B206,351
B207,322
B208,312
B209,356
B210,358
B211,223
B212,319
B213,181
B215,367
B216,319
B217,166
B218,337
B219,283
B221,299
B222,308
B223,325
B224,459
B225,305
B226,300
B227,284
B228,141
B229,188
B230,69
B231,476
B232,378
C102,118
C103,203
C105,164
C109,237
C113,255
C114,271
C115,89
C118,252
C120,249
C121,77
C124,211
C125,391
C126,191
C127,221
C128,153
C129,147
C130,207
C132,183
C137,265
C138,168
C140,172
C142,216
C143,145
C144,126
C148,151
C150,121
C151,121
C152,437
C153,200
C154,228
C155,159
C156,215
C157,135
C159,146
C160,226
C161,166
C162,177
C163,324
C164,344
C165,193
C167,218
C170,130
C171,177
C173,340
C174,239
C175,259
C176,314
C177,272
C178,247
C179,195
C180,480
C182,291
C183,88
C184,79
C185,112
C186,214
C187,340
C188,175
C189,126
C190,288
C191,251
C192,326
C193,233
C194,321
C195,235
C196,196
C197,141
C198,147
C199,241
C200,344
C201,211
C203,349
C205,226
C207,239
C208,310
C209,346
C210,383
C211,188
C212,235
C213,121
C215,227
C216,149
C217,313
C218,304
C219,162
C220,156
C221,238
C222,136
C223,357
C224,400
C225,326
C226,152
C227,280
C228,275
C229,193
C230,196
C231,317
C232,303
C233,252
C235,174
C236,213
C237,307
C238,314
C239,505
