Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
AB,2959,4123,252,2,53,128
A101,156,159,14,0,6,5
A102,163,250,26,1,8,8
A103,225,168,12,0,4,12
A104,148,95,9,0,4,3
A106,89,160,10,1,0,1
A108,109,90,11,0,0,3
A109,22,448,8,0,6,0
A111,133,262,10,0,13,4
A113,168,215,20,1,15,9
A114,122,213,25,0,9,4
A115,23,505,5,0,2,3
A116,173,201,28,0,6,10
A117,85,372,16,1,5,4
A118,194,218,11,0,3,4
A120,17,248,2,2,3,0
A121,103,211,18,0,6,5
A123,192,241,14,0,3,9
A126,61,313,2,1,5,4
A128,196,331,21,1,3,11
A130,15,287,2,1,4,2
A131,128,191,23,0,4,6
A132,166,272,19,0,4,11
A133,58,306,6,0,9,2
A134,45,210,6,0,1,2
A135,105,350,12,1,4,6
A136,193,252,21,0,22,12
A138,316,297,21,1,7,15
A139,221,214,13,2,12,8
A140,151,207,11,0,5,7
A143,78,219,9,0,5,4
A144,51,415,7,1,5,5
A145,220,255,15,2,7,9
A146,124,345,26,0,10,7
A148,50,421,20,1,16,11
A149,40,278,10,1,5,5
A150,51,408,12,1,17,2
A151,155,181,12,3,6,10
A152,198,392,30,1,3,14
A155,45,448,13,0,4,4
A156,128,171,13,0,2,3
A157,255,270,19,1,5,13
A158,359,143,16,0,7,6
A161,63,416,11,0,8,4
A162,26,108,2,0,2,3
A163,88,272,19,0,3,3
A164,38,265,2,2,5,3
A165,134,131,4,0,0,2
A166,286,215,18,0,5,15
A167,162,193,19,0,2,5
A168,167,339,15,1,4,3
A169,155,237,5,0,2,4
A170,114,150,12,0,7,3
A171,224,219,17,2,6,4
A172,144,215,17,2,3,5
A173,119,250,31,0,16,8
A174,79,122,2,0,5,3
A175,85,74,4,0,0,1
A176,229,171,16,1,4,10
A177,66,209,10,0,7,3
A178,97,109,6,0,4,4
A179,12,289,4,0,4,0
A180,133,188,21,0,6,13
A181,195,280,19,0,4,4
A182,291,191,16,0,6,9
A183,161,215,23,1,10,13
A184,67,121,18,0,6,7
A185,120,303,24,1,8,10
A187,271,416,34,0,6,17
