Precinct,Paul,Gray
AB,2958,4547
A101,137,205
A102,162,292
A103,211,207
A104,150,104
A106,62,190
A108,107,106
A109,24,454
A111,107,316
A113,163,260
A114,123,244
A115,33,497
A116,160,264
A117,76,412
A118,159,265
A120,18,252
A121,94,247
A123,180,276
A126,50,335
A128,180,389
A130,15,293
A131,103,239
A132,172,304
A133,60,321
A134,33,232
A135,81,379
A136,182,317
A138,294,373
A139,205,263
A140,133,247
A143,73,246
A144,56,435
A145,195,308
A146,151,361
A148,58,444
A149,41,287
A150,54,432
A151,131,236
A152,171,469
A155,58,454
A156,105,212
A157,265,324
A158,336,195
A161,58,444
A162,25,114
A163,87,293
A164,36,278
A165,122,144
A166,260,285
A167,156,224
A168,133,394
A169,119,294
A170,98,184
A171,179,289
A172,125,260
A173,161,264
A174,75,137
A175,81,84
A176,224,210
A177,70,227
A178,89,129
A179,16,292
A180,154,205
A181,195,314
A182,274,241
A183,148,274
A184,97,122
A185,163,304
A187,265,472
A188,249,229
A189,165,152
A190,211,268
A191,318,509
A192,195,310
A193,303,279
A194,163,284
A195,173,228
A196,133,252
A197,178,290
A198,135,231
A199,142,279
A200,228,494
A201,143,263
A203,0,3
A204,107,224
B101,235,232
B102,199,390
B103,196,215
B104,172,239
B105,156,269
B106,210,274
B108,143,251
B110,167,259
B111,98,312
B112,138,241
B113,134,444
B114,174,231
B117,280,311
B118,167,302
B119,102,201
B120,133,154
B121,139,263
B123,254,223
B125,156,319
B127,229,284
B128,136,228
B129,200,185
B130,299,354
B132,111,268
B133,134,293
B135,199,362
B137,191,295
B138,126,343
B139,228,243
B140,181,298
B141,223,281
B142,154,180
B143,187,302
B146,233,287
B147,204,286
B150,234,230
B151,136,223
B152,266,266
B154,182,225
B155,159,341
B156,273,271
B157,120,216
B158,163,274
B159,212,264
B163,289,301
B164,157,209
B165,220,345
B166,205,236
B167,133,172
B168,177,281
B169,156,190
B170,159,219
B172,159,188
B174,42,271
B179,292,354
B181,295,392
B182,103,143
B183,164,232
B184,241,288
B185,347,299
B186,273,231
B187,279,224
B188,232,281
B189,136,304
B190,148,364
B191,198,223
B192,289,282
B195,151,367
B196,156,270
B197,130,262
B198,331,254
B199,209,258
B200,184,196
B201,241,194
B202,264,307
B203,293,276
B204,199,153
B205,370,292
B206,259,260
B207,256,303
B208,245,190
B209,278,243
B210,274,374
B211,192,318
B212,247,281
B213,139,160
B215,285,229
B216,273,231
B217,127,120
B218,255,262
B219,232,217
B221,244,201
B222,239,271
B223,268,245
B224,364,312
B225,233,289
B226,232,234
B227,222,246
B228,98,119
B229,153,272
B230,71,94
B231,368,448
B232,291,305
C102,91,146
C103,132,405
C105,151,437
C109,196,173
C113,165,402
C114,214,245
C115,77,232
C118,200,240
C120,181,346
C121,65,153
C124,138,394
C125,295,270
C126,135,285
C127,173,291
C128,125,332
C129,104,169
C130,136,247
C132,145,338
C137,207,236
C138,114,430
C140,124,567
C142,149,533
C143,121,284
C144,93,372
C148,119,244
C150,91,247
C151,93,185
C152,372,251
C153,165,209
C154,184,151
C155,125,171
C156,163,308
C157,112,291
C159,111,223
C160,181,128
C161,131,229
C162,137,363
C163,257,183
C164,262,342
C165,166,353
C167,186,355
C170,93,233
C171,137,259
C173,267,293
C174,187,319
C175,197,297
C176,254,300
C177,213,339
C178,183,197
C179,156,252
C180,373,320
C182,227,258
C183,75,205
C184,58,96
C185,89,72
C186,185,318
C187,267,203
C188,133,225
C189,102,304
C190,224,310
C191,190,387
C192,244,235
C193,188,136
C194,243,264
C195,178,277
C196,153,259
C197,116,170
C198,110,232
C199,186,196
C200,266,255
C201,170,148
C203,278,281
C205,161,302
C207,186,379
C208,251,164
C209,272,305
C210,301,234
C211,135,250
C212,194,288
C213,97,186
C215,165,211
C216,115,153
C217,236,289
C218,242,247
C219,124,248
C220,124,175
C221,194,235
C222,108,210
C223,276,320
C224,308,335
C225,267,231
C226,113,210
C227,226,339
C228,208,248
C229,162,132
C230,149,245
C231,248,218
C232,230,263
C233,184,271
C235,138,175
C236,172,157
C237,247,238
C238,253,299
C239,371,427
