Precinct,Howland,Meeks
M102,19,941
M103,14,994
M104,10,409
M105,8,411
M107,3,242
M110,12,580
M121,89,474
M123,134,710
M124,126,559
M129,13,268
M130,19,263
M131,50,274
M133,22,685
M137,166,288
M138,225,600
M139,93,429
M140,61,179
M141,61,273
M142,194,778
M143,103,337
M144,53,216
M145,2,35
M146,74,444
M147,62,322
M148,5,440
M149,133,312
M150,77,180
M159,32,118
M160,34,98
M162,50,190
M163,42,164
M164,10,14
M165,0,0
M166,41,452
M167,0,0
M168,19,109
M169,6,275
M170,27,653
M171,29,779
M172,15,127
M173,66,543
M174,0,1
M175,0,0
