Precinct,Rickman,Neal
J105,138,348
J107,101,423
J111,141,481
J154,0,0
K118,43,492
K119,188,532
K123,91,762
K126,60,290
K130,75,438
K131,119,465
K137,14,175
K138,57,127
K144,205,510
K145,337,822
K148,180,465
L104,36,601
L108,27,370
L110,4,16
L117,216,676
L119,211,726
L140,13,266
L141,84,362
L142,76,363
L144,14,215
L145,19,468
L147,23,445
L149,0,27
L150,3,50
L154,16,353
L155,3,11
L157,26,472
L158,11,339
L159,2,130
L160,16,254
L161,19,439
L162,1,8
L164,78,283
M102,43,964
M103,46,1011
M104,23,420
M105,18,420
M107,7,248
M110,21,594
M133,37,709
M141,67,339
M142,206,973
M143,90,437
M148,18,448
M149,129,443
M169,14,282
M171,31,807
M173,74,607
M175,0,0
N101,81,635
N102,190,532
N103,36,700
N104,49,744
N105,41,561
N106,36,656
N107,26,650
N108,45,719
N109,26,486
N110,28,434
N111,15,300
N112,18,371
N113,16,286
N115,110,422
N117,88,513
N124,2,3
N127,14,54
N128,47,217
N134,138,721
N135,48,129
N136,38,287
N137,4,135
N138,2,36
N139,3,75
N145,13,458
N147,28,108
N148,12,336
N149,2,103
N150,0,12
O105,143,799
O107,169,919
O109,198,810
O111,160,617
O113,123,497
O117,87,661
O119,101,663
O121,118,593
O123,107,414
O124,164,438
O126,145,551
Cumulative:,290,1469
Total:,6432,41020
