Precinct,HarperAngel
C101,571
C102,379
C103,480
C104,368
C105,331
C106,842
C108,658
C109,276
C110,460
C111,840
C113,235
C115,782
C125,431
C126,562
C133,683
C134,456
C135,434
C141,340
C142,419
C143,85
C145,118
C147,1
C151,16
D113,431
D145,224
G103,414
G104,349
G106,370
G107,462
H123,155
H126,311
H127,231
H130,0
H131,291
H132,188
H138,813
H144,475
H154,109
H161,1
I150,54
J101,480
J104,575
J130,148
J146,0
K104,346
K105,718
K110,334
K111,216
K112,273
K113,211
K114,430
K116,65
K122,610
K125,168
K133,427
K135,18
K136,90
K140,196
K141,125
K142,0
K143,0
K149,0
K150,0
K151,0
L111,272
L112,320
L113,594
L115,79
L143,214
L148,194
L156,540
L163,246
M121,501
M123,750
M124,597
M129,272
M130,262
M131,290
M139,465
M140,205
M146,469
M162,212
M163,180
M166,464
M168,116
M170,665
M172,130
Q101,773
Q103,699
Q105,787
Q107,676
Q113,221
Q116,522
Q122,505
Q123,820
Q124,474
Q127,318
Q134,396
Q136,173
