Precinct,Paul,Gray
A105,466,679
A107,232,294
A108,413,470
A111,354,365
A113,385,425
A114,318,333
A115,338,336
A118,198,173
A119,313,311
A121,347,371
A123,333,508
A124,443,327
A125,467,339
A126,407,341
A127,245,287
A128,303,289
A129,493,398
A130,239,163
A131,362,353
A134,258,212
A135,288,295
A136,167,229
A139,218,258
A140,445,494
A141,7,7
A142,111,102
A143,11,1
B124,367,306
B132,501,326
B133,499,434
B134,700,620
B149,312,244
B151,572,494
B153,36,21
B154,352,375
B155,258,292
B156,486,505
B157,657,657
B158,588,340
B159,801,659
B160,286,229
B161,62,32
B162,586,347
B163,428,518
B166,283,307
B168,493,408
B169,366,294
B170,320,286
B172,734,536
B173,492,388
B175,460,352
B177,554,308
B181,66,48
B182,314,207
B183,784,530
B184,14,6
B185,153,158
C101,98,555
C102,119,346
C103,132,439
C104,92,355
C105,13,324
C106,193,787
C108,90,611
C109,32,264
C110,16,456
C111,35,825
C113,67,213
C115,215,702
C122,188,343
C123,137,234
C124,324,463
C125,98,397
C126,123,526
C128,72,81
C129,243,622
C130,14,45
C131,130,228
C133,322,570
C134,236,380
C135,221,375
C136,154,256
C137,234,342
C138,149,258
C139,14,9
C141,136,282
C142,111,386
C143,64,69
C144,32,34
C145,69,96
C146,0,0
C147,0,1
C148,12,21
C149,9,1
C150,5,4
C151,10,14
D101,175,264
D104,209,335
D106,296,329
D108,374,424
D109,112,208
D110,178,356
D113,113,397
D114,331,386
D115,360,540
D116,433,530
D117,304,353
D120,388,591
D121,289,304
D122,372,353
D126,477,600
D129,149,220
D130,294,378
D131,180,256
D132,463,751
D135,225,339
D136,435,548
D137,320,277
D138,506,633
D139,444,524
D140,410,475
D141,356,295
D142,377,359
D144,163,207
D145,162,168
E139,176,363
E141,158,166
E142,262,317
E143,221,296
E144,308,410
E145,337,385
E148,460,422
E152,472,356
E154,328,346
E155,333,398
E157,102,100
E158,232,239
E159,188,193
E160,316,300
E161,226,121
E162,124,130
E163,565,273
E164,471,247
E165,391,446
E166,254,229
E167,254,374
E168,235,160
E169,614,431
E171,209,267
E173,152,310
E175,243,265
E176,147,156
E177,129,143
E178,363,282
E179,423,246
E180,283,336
E181,371,381
E182,707,616
E183,283,317
E184,279,233
