Precinct,Wells,Blair,Warren,Huizenga,Williams,Flesch,Downing
AB,368,322,237,336,354,263,312
A101,153,125,129,212,115,145,114
A102,109,104,93,148,134,87,91
A103,166,180,151,246,169,141,127
A104,141,122,92,181,125,114,139
A105,83,102,60,109,105,68,70
A106,111,150,118,211,179,77,149
A107,150,171,128,230,187,109,150
A108,182,236,165,206,254,158,205
A109,172,127,98,137,161,125,178
A110,127,111,72,124,124,72,135
A111,175,142,117,155,168,141,161
A112,136,137,89,146,146,110,145
A113,144,134,85,134,121,114,165
A114,130,134,103,127,130,110,166
A115,157,165,84,140,153,111,179
A116,147,155,91,146,150,105,156
A117,176,194,104,155,179,134,188
A118,76,97,57,69,188,47,67
A119,75,99,74,75,151,35,72
A120,130,109,128,130,130,110,97
A121,121,146,121,126,179,82,108
A122,212,171,240,289,203,207,144
A123,125,123,129,161,146,140,115
A124,224,205,159,221,190,153,240
A130,2,1,1,0,1,2,1
A131,677,439,392,364,489,312,665
A135,306,253,165,197,273,180,327
B122,487,348,269,379,359,357,442
