Precinct,Trump,Clinton,Johnson,DeLaFuente,Stein,McMullin
AB,2590,1748,165,3,26,60
A101,141,259,10,1,11,3
A102,71,234,23,0,5,3
A103,139,324,29,0,8,5
A104,187,160,20,0,4,1
A105,103,145,11,1,3,0
A106,103,277,25,0,10,3
A107,144,291,26,0,7,8
A108,225,349,29,1,13,2
A109,170,205,19,0,7,1
A110,157,141,7,0,1,0
A111,178,224,18,0,1,5
A112,197,206,14,1,7,7
A113,187,122,17,0,5,2
A114,183,124,20,0,6,1
A115,186,169,6,0,2,2
A116,218,130,16,0,1,5
A117,274,175,24,0,7,2
A118,30,250,3,0,3,0
A119,48,206,6,1,6,2
A120,101,193,12,1,5,0
A121,103,232,21,0,11,3
A122,174,331,24,0,14,15
A123,131,201,16,0,8,6
A124,269,211,27,0,10,6
A125,159,76,9,0,5,3
A126,535,376,46,1,11,8
A128,386,256,38,0,7,6
A130,325,172,26,0,14,11
A131,837,371,69,2,20,13
A132,299,252,32,0,10,7
A133,369,372,46,0,10,17
A135,425,212,48,0,10,14
A136,420,170,26,0,8,11
A137,744,292,43,0,13,17
A138,575,279,36,0,16,9
B101,553,115,25,0,1,7
B105,327,104,10,0,2,7
B106,414,164,13,1,6,11
B107,265,120,23,0,3,3
B108,663,286,39,0,4,8
B109,494,192,25,1,5,3
B110,505,257,25,0,6,11
B111,371,155,19,0,2,10
B112,498,193,31,0,4,12
B115,987,273,50,1,9,23
B116,737,243,47,1,6,19
B117,336,174,27,0,9,8
B118,820,336,67,1,7,13
B119,200,47,2,0,1,2
B120,614,145,23,0,2,6
B121,590,178,29,0,5,12
B122,864,328,53,0,15,13
B123,431,86,8,0,4,3
B125,543,242,37,0,13,15
B129,330,83,12,0,4,2
B130,473,141,25,1,1,10
B131,370,147,20,0,9,9
B132,923,433,79,2,9,18
B133,634,194,29,0,3,11
B134,295,182,14,1,6,9
B135,475,201,37,1,4,7
B136,871,286,55,0,7,19
B137,727,265,44,0,8,9
B138,694,303,36,2,3,11
B139,0,2,0,0,0,0
B140,575,231,28,0,13,13
B141,987,340,47,1,14,18
B142,11,3,0,0,0,0
C101,247,154,30,0,8,4
C102,451,262,35,0,8,21
C103,256,116,17,1,5,4
C104,349,357,46,2,9,10
C105,341,201,26,1,2,6
C106,293,197,20,0,5,9
C107,524,296,55,1,10,8
C108,205,103,17,0,0,4
C109,247,124,17,0,5,7
C110,373,231,34,0,7,12
C111,327,231,32,0,4,13
C112,274,159,24,0,8,13
C113,284,183,19,0,6,9
C114,251,162,17,0,8,4
C115,214,199,25,0,9,8
C116,404,249,34,1,8,8
C117,397,253,44,0,3,16
C118,424,225,28,0,4,6
C119,209,151,27,0,4,9
C121,287,201,20,2,8,12
C122,589,394,56,1,5,13
C124,687,277,39,1,13,16
C125,662,398,56,0,9,16
C127,465,208,33,0,6,9
C128,388,270,32,0,4,8
C130,557,269,44,1,3,6
C131,436,181,19,0,3,9
C133,407,175,28,0,8,8
C134,477,249,28,1,4,10
C135,763,331,39,2,3,19
C136,561,369,42,2,8,16
C137,347,139,33,0,3,7
C138,367,199,22,1,10,14
C139,260,165,27,0,6,4
C140,423,228,25,0,3,9
C141,252,123,17,0,4,11
C142,0,0,0,0,0,0
C143,0,0,0,0,0,0
