Precinct,McDaniel
AB,2433
A101,254
A102,175
A103,285
A104,279
A105,163
A106,222
A107,263
A108,371
A109,252
A110,216
A111,267
A112,276
A113,246
A114,253
A115,274
A116,281
A117,348
A118,87
A119,98
A120,175
A121,196
A122,319
A123,205
A124,389
A125,191
A126,710
A128,512
A130,408
A131,1063
A132,415
A133,546
A135,562
B105,367
B106,495
B107,315
B108,830
B109,573
B110,628
B111,459
B112,604
B125,696
B135,577
B138,846
B139,0
C101,353
C102,651
C103,310
C104,560
C105,440
C106,398
C107,659
C108,259
C109,305
C110,493
C111,451
C112,373
C113,362
C114,345
C115,315
C116,516
C117,544
C118,544
C119,296
C121,395
C122,790
C124,806
C125,872
C127,549
C128,526
C130,694
C131,526
C133,491
C134,587
C135,950
C136,753
C137,437
C138,505
C139,351
C140,557
C141,322
C142,0
C143,0
