Precinct,Massie,Sidle
AB,2907,1570
A101,184,236
A102,91,237
A103,181,319
A104,226,150
A105,113,141
A106,129,268
A107,186,277
A108,255,335
A109,197,194
A110,173,132
A111,204,209
A112,207,209
A113,202,120
A114,202,118
A115,200,167
A116,234,123
A117,282,176
A118,41,240
A119,51,208
A120,121,191
A121,131,236
A122,231,315
A123,152,201
A124,305,210
A125,160,78
A126,605,353
A128,430,242
A130,353,185
A131,914,367
A132,367,217
A133,457,338
A135,487,203
A136,450,167
A137,839,250
A138,632,266
B101,579,111
B105,335,108
B106,452,148
B107,290,116
B108,774,218
B109,552,151
B110,574,219
B111,420,132
B112,563,165
B115,1076,242
B116,817,214
B117,368,177
B118,912,303
B119,203,49
B120,634,141
B121,607,191
B122,969,277
B123,449,77
B125,618,221
B129,345,81
B130,523,122
B131,381,161
B132,1079,364
B133,680,183
B134,318,177
B135,527,185
B136,947,285
B137,791,227
B138,780,254
B139,0,2
B140,626,226
B141,1064,321
B142,10,4
C101,282,153
C102,570,197
C103,268,112
C104,410,350
C105,375,189
C106,309,204
C107,576,282
C108,223,95
C109,264,124
C110,424,219
C111,384,204
C112,321,151
C113,320,161
C114,277,159
C115,245,199
C116,476,213
C117,505,193
C118,494,176
C119,259,135
C121,343,183
C122,686,356
C124,762,242
C125,778,348
C127,517,189
C128,449,243
C130,646,225
C131,493,151
C133,464,151
C134,558,188
C135,922,229
C136,660,316
C137,392,130
C138,429,177
C139,291,164
C140,509,168
C141,297,102
C142,0,0
C143,0,0
