Precinct,Paul,Gray
AB,2898,1670
A101,196,229
A102,104,227
A103,175,337
A104,224,156
A105,124,137
A106,138,275
A107,179,298
A108,260,344
A109,194,204
A110,153,153
A111,185,239
A112,197,226
A113,200,130
A114,209,123
A115,198,173
A116,232,136
A117,272,197
A118,39,246
A119,51,214
A120,113,198
A121,131,234
A122,227,327
A123,162,201
A124,290,233
A125,163,82
A126,580,401
A128,428,253
A130,357,179
A131,901,405
A132,370,233
A133,443,371
A135,472,233
A136,448,186
A137,833,278
A138,623,287
B101,557,141
B105,343,108
B106,454,159
B107,304,114
B108,758,245
B109,535,182
B110,553,249
B111,404,155
B112,541,201
B115,1053,286
B116,792,248
B117,353,199
B118,908,330
B119,199,54
B120,612,167
B121,601,215
B122,939,328
B123,430,103
B125,620,229
B129,333,95
B130,503,150
B131,380,167
B132,1037,420
B133,672,198
B134,315,183
B135,518,209
B136,943,303
B137,772,272
B138,754,298
B139,0,2
B140,613,248
B141,1041,355
B142,8,6
C101,285,156
C102,547,235
C103,264,126
C104,408,362
C105,368,210
C106,308,212
C107,561,322
C108,227,104
C109,259,137
C110,420,229
C111,361,245
C112,314,165
C113,296,194
C114,262,179
C115,241,206
C116,467,232
C117,480,237
C118,489,198
C119,247,153
C121,333,202
C122,676,385
C124,759,271
C125,749,396
C127,514,206
C128,444,258
C130,619,266
C131,469,183
C133,464,165
C134,542,228
C135,893,271
C136,640,357
C137,380,150
C138,426,188
C139,283,176
C140,491,205
C141,275,127
C142,0,0
C143,0,0
